env_id,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_decay,total_timesteps,avg_reward_last_20,avg_length_last_20,episodes
ALE/Boxing-v5,0.0005,0.95,64,1.0,0.05,0.2,3000,-11,440.83,6
ALE/Boxing-v5,0.0005,0.95,64,1.0,0.05,0.2,3000,-5.25,440.83,6
ALE/Boxing-v5,0.0005,0.95,64,1.0,0.05,0.2,3000,0,440.83,6
ALE/Boxing-v5,0.0001,0.95,64,1.0,0.05,0.2,3000,-6,440.83,6
ALE/Boxing-v5,0.0002,0.95,64,1.0,0.05,0.2,3000,-8,440.83,6
ALE/Boxing-v5,0.0005,0.99,64,1.0,0.05,0.2,3000,-4,440.83,6
ALE/Boxing-v5,0.0005,0.90,64,1.0,0.05,0.2,3000,-9,440.83,6
ALE/Boxing-v5,0.0005,0.95,32,1.0,0.05,0.2,3000,-7,440.83,6
ALE/Boxing-v5,0.0005,0.95,128,1.0,0.05,0.2,3000,-6.5,440.83,6
ALE/Boxing-v5,0.0005,0.95,64,1.0,0.01,0.2,3000,-3.5,440.83,6