name,policy,env_id,learning_rate,gamma,batch_size,epsilon_start,epsilon_end,total_timesteps,ep_rew_mean,notes
exp1,CnnPolicy,ALE/Boxing-v5,0.0005,0.95,64,1.0,0.05,3000,-11,initial run random movement
exp2,CnnPolicy,ALE/Boxing-v5,0.0005,0.95,64,1.0,0.05,3000,-5.25,better attacking and movement
exp3,CnnPolicy,ALE/Boxing-v5,0.0005,0.95,64,1.0,0.05,3000,0,good balance performance
exp4,CnnPolicy,ALE/Boxing-v5,0.0001,0.95,64,1.0,0.05,3000,-6,more controlled but missing punches
exp5,CnnPolicy,ALE/Boxing-v5,0.0002,0.95,64,1.0,0.05,3000,-8,slightly improved stability
exp6,CnnPolicy,ALE/Boxing-v5,0.0005,0.99,64,1.0,0.05,3000,-4,better long-term reward focus
exp7,CnnPolicy,ALE/Boxing-v5,0.0005,0.90,64,1.0,0.05,3000,-9,less future reward consideration
exp8,CnnPolicy,ALE/Boxing-v5,0.0005,0.95,32,1.0,0.05,3000,-7,smaller batch size less stable
exp9,CnnPolicy,ALE/Boxing-v5,0.0005,0.95,128,1.0,0.05,3000,-6.5,larger batch smoother learning
exp10,CnnPolicy,ALE/Boxing-v5,0.0005,0.95,64,1.0,0.01,3000,-3.5,lower exploration improved targeting